statusid,officeid,schedstatus,schedgroup,isdefault,hold,processbilling,processpay,credit,interpOption,bgcolor,fgcolor,active
109,10,CANCEL-NO CHRG,CANCEL_NC,False,False,False,False,False,False,#663300,#FFFFFF,True
110,10,DECLINED,UNFILLED,False,False,False,False,False,False,#663300,#FFFFFF,True
111,10,INTERP-NO SHOW,CANCEL_NC,False,False,False,False,False,False,#663300,#FFFFFF,True
112,10,NO SERVICE,UNFILLED,False,True,False,False,False,False,#CC0000,#FFFFFF,True
113,10,CUA,CANCEL_BILL,False,False,True,True,False,False,#000099,#FFFFFF,True
114,10,CONFIRMED W/BUS,PENDING,False,True,False,False,False,False,#008F00,#FFFFFF,True
115,10,DOUBLE  BOOKED,CANCEL_NC,False,False,False,True,False,False,#663300,#FFFFFF,True
116,10,PAY INTERPRETER,CANCEL_NC,False,False,False,True,False,False,#663300,#FFFFFF,True
135,6,UNFILLED,UNFILLED,True,True,False,False,False,False,,#FFFFFF,True
136,6,CREDIT,OTHER,False,False,False,True,True,False,,#FFFFFF,True
137,6,PENDING,PENDING,False,True,False,False,False,False,,#FFFFFF,True
138,6,CONFIRMED,PENDING,False,True,False,False,False,True,,#FFFFFF,True
139,6,CANCEL MORE,CANCEL_NC,False,False,False,False,False,False,,#FFFFFF,True
140,6,CANCEL LESS,CANCEL_BILL,False,False,True,True,False,True,,#FFFFFF,True
141,6,COMPLETED,COMPLETED,False,True,True,True,False,True,,#FFFFFF,True
142,6,UNABLE,UNFILLED,False,False,False,False,False,False,,#FFFFFF,True
143,6,CUC,CANCEL_NC,False,False,False,False,False,False,,#FFFFFF,True
144,6,FILLED,PENDING,False,True,False,False,False,False,,#FFFFFF,True
145,6,INTERP/CX'L,UNFILLED,False,False,False,False,False,False,,#FFFFFF,True
146,6,AGENCY HOLD,PENDING,False,True,False,False,False,False,,#FFFFFF,True
147,6,CLIENT NO SHOW,CANCEL_BILL,False,False,True,True,False,False,,#FFFFFF,True
148,13,SERVICE,PENDING,True,True,False,False,False,False,#FFCC00,#000000,True
149,13,CREDIT,OTHER,False,False,True,True,True,False,#000099,#FFFFFF,True
150,13,PENDING,PENDING,False,True,False,False,False,False,#FFCC00,#000000,True
151,13,UNAVAILABLE,UNFILLED,False,True,False,False,False,False,#CC0000,#FFFFFF,True
152,13,CONFIRMED,PENDING,False,True,False,False,False,True,#008F00,#FFFFFF,True
153,13,CANCEL MORE/24 H,CANCEL_NC,False,False,False,False,False,False,#663300,#FFFFFF,True
154,13,CANCEL LESS/24 H,CANCEL_BILL,False,False,True,True,False,False,#000099,#FFFFFF,True
155,13,NO SHOW,CANCEL_BILL,False,False,True,True,False,True,#000099,#FFFFFF,True
156,13,COMPLETED,COMPLETED,False,True,True,True,False,True,#000099,#FFFFFF,True
157,13,OBSERVATIONS,COMPLETED,False,False,True,True,False,False,#000099,#FFFFFF,True
158,13,CANCEL-WEATHER,CANCEL_NC,False,False,False,False,False,False,#663300,#FFFFFF,True
159,13,CANCEL-NO CHRG,CANCEL_NC,False,False,False,False,False,False,#663300,#FFFFFF,True
160,13,DECLINED,CANCEL_NC,False,False,False,False,False,False,#663300,#FFFFFF,True
161,13,INTERP NO SHOW,CANCEL_NC,False,False,False,False,False,False,#663300,#FFFFFF,True
162,13,NO SERVICE,CANCEL_NC,False,False,False,False,False,False,#663300,#FFFFFF,True
163,13,CANCEL UPON ARIV,CANCEL_BILL,False,False,True,True,False,False,#000099,#FFFFFF,True
164,13,CANCEL LESS/48 H,CANCEL_BILL,False,False,True,True,False,False,#000099,#FFFFFF,True
165,13,CANCEL MORE/48 H,CANCEL_NC,False,False,False,False,False,False,#663300,#FFFFFF,True
