"PublisherName"		"AppName"
Altova Inc.		MapForce
Altova Inc.		SchemaAgent
Altova Inc.		StyleVision
Altova Inc.		XMLSPY
Altova Inc.		XMLSpy
Altova Inc.		xmlspy
Altreality Inc.		SmartWord
Altura Software Inc.		None
Aluria Software (see Earthlink)		None
Amadis Software Inc.		DVDto3GP Converter
Amaze Soft		FlashGet
AmazingCharts.com Inc.		Amazing Charts
Ambiencia Information Systems Inc.		Galaxy Application Environment
Amdahl Corporation		A+EDM
Amdek Corporation (see Wyse Technology Inc.)		None
Amdocs Software Systems Limited		Amdocs ClarifyCRM
Amdocs Software Systems Limited		Cramer
America Online Inc.		AOL Companion
America Online Inc.		AOL Explorer
America Online Inc.		AOL Greetings Viewer
America Online Inc.		AOL Instant Messenger
America Online Inc.		AOL On Desktop
America Online Inc.		AOL Press
America Online Inc.		America Online
American Business Information (see InfoUSA)		None
American Cybernetics Inc.		Multi-Edit for Windows
American FundWare Inc.		None
American Institute of Steel Construction Inc.		RAM Estimator
American Megatrends Inc.		MegaRAID IDE
American Power Conversion (APC)		APC Management Card Wizard
American Power Conversion (APC)		Advanced View
American Power Conversion (APC)		PowerChute Business Edition
American Power Conversion (APC)		PowerChute Business Edition Server
American Power Conversion (APC)		PowerChute Personal Edition
American Power Conversion (APC)		PowerChute Web Device Manager
American Power Conversion (APC)		PowerChute plus
American Protective Services Inc.		None
American Software		20/20
American Systems		EZ Macros
AmericanGreetings.com		Create & Print
Amish Software Inc.		Amish Utilities for Windows
Amos Educational Software		None
Amplusnet		Cyclope Internet Filtering Proxy
Analog Devices Inc.		ADuC
Analog Devices Inc.		SoundMAX
Analog Devices Inc.		SoundMAX Integrated Digital Audio
Analog Devices Inc.		SoundMAX SpkrMonX
Analog Devices Inc.		SoundMax4PNP
AnalogX		Proxy
AnalogX		TSDropCopy
Analytical Automation Specialists Inc.		None
Anand Software and Training Pvt. Ltd.		A+ Core Hardware Practice Tests
Anand Software and Training Pvt. Ltd.		Network+ Practice Tests
Anark Corporation		Anark Media Client
Anawave Inc. (see MicroPlanet Inc.)		None
Anchek Multimedia		TipTap Lite
Andersen Consulting		None
Anderson Greewood and Crosby		SafetySize
Andrea Electronics Corporation		Andrea Digital Technologies AEEnable
Andrew Bulhak		WHAM-Waveform Hold and Modify
Andrew Schulman		Windows New-Executable (NE) Header Utilities
Andrew Schulman		Windows Segmented - Executable (NE) Dumper
Andyne Computing Limited (see Hummingbird)		None
Anfy Team		Anfy
Angel Studios		Midtown Madness Trial
Angryziber Software		IP Scanner
Anri Software		Network Management
Any-capture.com		Any Capture Screen
Anyware Software (see Network Associates)		None
Apache Group		Apache HTTP Server
Aperture Technologies Inc.		Aperture
Apogee Software Ltd.		Balls of Steel
Apogee Software Ltd.		Commander Keen 3.5: Keen Dreams
Apogee Software Ltd.		Commander Keen IV: Secret of the Oracle
Apogee Software Ltd.		Commander Keen: Invasion of the Vorticons
Apogee Software Ltd.		Duke Nukem
Apogee Software Ltd.		Duke Nukem 3D
Apogee Software Ltd.		Hocus Pocus
Apogee Software Ltd.		Major Stryker
