Non-recursive (store_in_bucket) !!!

{"directory":{"downloads.vyperlogix.com":{"web":{"content":{"memcached":{"installers":{"windows":{"memcached-win32-1.4.4-14":{"memcached.exe":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win32-1.4.4-14\/memcached.exe","pthreadGC2.dll":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win32-1.4.4-14\/pthreadGC2.dll","INSTALL":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win32-1.4.4-14\/INSTALL","README":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win32-1.4.4-14\/README","libgcc_s_sjlj-1.dll":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win32-1.4.4-14\/libgcc_s_sjlj-1.dll","mingwm10.dll":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win32-1.4.4-14\/mingwm10.dll"},"memcached-win64-1.4.4-14":{"README":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win64-1.4.4-14\/README","pthreadGC2.dll":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win64-1.4.4-14\/pthreadGC2.dll","memcached.exe":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win64-1.4.4-14\/memcached.exe","INSTALL":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win64-1.4.4-14\/INSTALL","libgcc_s_sjlj-1.dll":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win64-1.4.4-14\/libgcc_s_sjlj-1.dll"}}}}}}}}}
         20621 function calls (20571 primitive calls) in 2.425 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:246(DecodeError)
        1    0.000    0.000    0.000    0.000 __init__.py:248(CompressionOption)
        2    0.006    0.003    0.073    0.036 __init__.py:25(<module>)
        1    0.000    0.000    0.099    0.099 __init__.py:250(close)
        1    0.000    0.000    0.000    0.000 __init__.py:255(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:260(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:270(register_encoder_for_type)
       12    0.000    0.000    0.000    0.000 __init__.py:272(__init__)
       12    0.000    0.000    0.000    0.000 __init__.py:274(__call__)
        1    0.000    0.000    0.000    0.000 __init__.py:280(register_decoder_for_type)
        1    0.000    0.000    0.000    0.000 __init__.py:282(RefHandler)
       12    0.000    0.000    0.000    0.000 __init__.py:282(__init__)
       12    0.000    0.000    0.000    0.000 __init__.py:284(__call__)
        1    0.000    0.000    0.000    0.000 __init__.py:287(NoneHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:290(StrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:291(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:293(UnicodeHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:294(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:298(BoolHandler)
        8    0.000    0.000    0.000    0.000 __init__.py:299(callersName)
        1    0.000    0.000    0.000    0.000 __init__.py:301(IntHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:304(LongHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:304(findInListSafely)
        1    0.000    0.000    0.000    0.000 __init__.py:307(FloatHandler)
        1    0.000    0.000    0.016    0.016 __init__.py:31(new)
        1    0.000    0.000    0.000    0.000 __init__.py:310(ComplexHandler)
